defteam,def_run_strength,def_pass_strength
ARI,-0.5388227955127851,-0.7763870869991158
ATL,-0.03539075595359758,-1.263687424686943
BAL,1.8799864426368302,0.12469760506508593
BUF,1.2939057199978792,-0.6033796255899432
CAR,-2.050142033705856,-2.046716864489001
CHI,-0.04392935884268203,0.013148880806327678
CIN,-0.3453353207254473,-0.4936138772559914
CLE,0.4467610706775354,-0.6845395161160984
DAL,-1.8876987887440755,-0.3314746473202203
DEN,1.5167021155500775,1.6875050033424066
DET,0.2928125388183654,1.213522978662758
GB,1.0749278508010323,0.8684080608959494
HOU,0.9835358590955674,0.8817933092595276
IND,1.0701365885488583,-0.9397540481519234
JAX,-0.5135132990110918,-2.5453212233273397
KC,0.5621129074883037,-0.5243599304541842
LA,-0.005177787591570049,-0.9404198402149875
LAC,0.6840885350545669,0.9979255587004512
LV,0.6023333405923192,-0.8204477867990017
MIA,0.9662473420974138,-0.04624437977461663
MIN,1.990356127663174,0.7668017784042361
NE,0.08171134290279496,-1.687549421873022
NO,-1.3733620846382182,0.12401410696163968
NYG,-0.14092964845397277,-1.325736466101513
NYJ,-0.02017397761219896,-0.4429085790269221
PHI,1.474771817321599,1.2739569978750342
PIT,0.9922638688336556,-0.13529465006595037
SEA,0.34720688746324185,0.13188626567628328
SF,-0.7697451475333004,-0.23832714677001232
TB,0.5524749615798727,-0.5273300626233567
TEN,-0.1803171649630632,-0.4783481228767061
WAS,0.10487632122436995,-0.2483741114290705
